"","taxon","long","lat"
"36","P. americana",-89.113421,40.362626
"39","P. americana",-96.321279,39.396765
"40","P. americana",-96.321279,39.396765
"85","P. americana",-103.321718,46.482183
"86","P. americana",-103.321718,46.482183
"120","P. americana",-75.9552,44.374838
"121","P. americana",-75.9552,44.374838
"133","P. americana",-76.202221,45.03181
"134","P. americana",-75.835561,45.191461
"135","P. americana",-75.835561,45.191461
"144","P. americana",-75.512078,45.401845
"145","P. americana",-75.512078,45.401845
"156","P. americana",-73.749797,45.450041
"157","P. americana",-73.548302,45.50846
"158","P. americana",-73.548302,45.50846
"200","P. americana",-73.18782,41.747786
"231","P. americana",-87.073938,41.615442
"248","P. americana",-73.74959,41.77577
"249","P. americana",-76.510431,43.455394
"256","P. americana",-79.582005,43.553195
"261","P. americana",-79.38131,43.654213
"263","P. americana",-79.38131,43.654213
"264","P. americana",-79.38131,43.654213
"265","P. americana",-79.38131,43.654213
"266","P. americana",-79.38131,43.654213
"267","P. americana",-79.38131,43.654213
"268","P. americana",-79.38131,43.654213
"269","P. americana",-79.38131,43.654213
"271","P. americana",-79.38131,43.654213
"273","P. americana",-79.493391,43.732044
"274","P. americana",-79.493249,43.732256
"275","P. americana",-79.493249,43.732256
"276","P. americana",-79.493249,43.732256
"277","P. americana",-79.493249,43.732256
"278","P. americana",-79.493249,43.732256
"279","P. americana",-81.707317,43.742187
"280","P. americana",-81.707317,43.742187
"313","P. americana",-78.530497,44.027374
"350","P. americana",-80.818206,44.176311
"351","P. americana",-76.486253,44.227954
"352","P. americana",-76.486253,44.227954
"353","P. americana",-76.949643,44.248256
"354","P. americana",-76.949643,44.248256
"355","P. americana",-76.908983,44.299598
"356","P. americana",-78.32182,44.306568
"357","P. americana",-78.73945,44.354588
"358","P. americana",-76.18314,44.520164
"359","P. americana",-76.18314,44.520164
"363","P. americana",-81.262838,44.628378
"366","P. americana",-76.362643,45.015961
"403","P. americana",-90.429099,42.416795
"426","P. americana",-81.392941,44.434052
"429","P. americana",-80.227672,43.78235
"432","P. pennsylvanica",-81.977058,42.551718
"435","P. pennsylvanica",-80.051706,42.96203
"461","P. pennsylvanica",-71.86845,41.329674
"486","P. pennsylvanica",-84.016742,41.843386
"502","P. pennsylvanica",-83.846809,42.308368
"504","P. pennsylvanica",-83.846809,42.308368
"505","P. pennsylvanica",-83.846809,42.308368
"513","P. pennsylvanica",-83.846809,42.308368
"532","P. pennsylvanica",-83.058514,42.350057
"535","P. pennsylvanica",-83.956716,42.621074
"539","P. pennsylvanica",-83.956716,42.621074
"540","P. pennsylvanica",-83.956716,42.621074
"541","P. pennsylvanica",-83.956716,42.621074
"542","P. pennsylvanica",-83.956716,42.621074
"546","P. pennsylvanica",-83.956716,42.621074
"547","P. pennsylvanica",-83.956716,42.621074
"549","P. pennsylvanica",-83.956716,42.621074
"570","P. pennsylvanica",-86.009833,41.929629
"571","P. pennsylvanica",-86.532517,42.035971
"572","P. pennsylvanica",-86.532517,42.035971
"573","P. pennsylvanica",-84.399009,42.245289
"574","P. pennsylvanica",-84.399009,42.245289
"583","P. pennsylvanica",-83.84634,42.620787
"584","P. pennsylvanica",-83.84634,42.620787
"587","P. pennsylvanica",-85.18794,43.303966
"592","P. pennsylvanica",-84.76747,43.706326
"593","P. pennsylvanica",-84.76747,43.706326
"600","P. pennsylvanica",-74.686237,39.853868
"614","P. pennsylvanica",-73.561952,40.910534
"615","P. pennsylvanica",-73.561952,40.910534
"619","P. pennsylvanica",-76.394931,42.380483
"620","P. pennsylvanica",-76.394931,42.380483
"624","P. pennsylvanica",-82.341726,38.866642
"630","P. pennsylvanica",-82.51841,41.966921
"681","P. pennsylvanica",-77.237827,38.907101
"691","P. pennsylvanica",-80.397483,43.214769
"694","P. pennsylvanica",-82.532407,41.967949
"698","P. americana",-111.37,49.05
"699","P. americana",-111.37,49.05
"700","P. americana",-112.05,49.09
"701","P. americana",-112.43,51.28
"702","P. americana",-112.43,51.28
"703","P. americana",-112.43,51.28
"704","P. americana",-112.43,51.28
"707","P. americana",-75.42,45.25
"708","P. americana",-75.42,45.25
"709","P. americana",-75.42,45.25
"710","P. americana",-75.42,45.25
"711","P. americana",-75.42,45.25
"712","P. americana",-75.42,45.25
"738","P. americana",-101.18,50.27
"750","P. americana",-73.14,45.18
"753","P. americana",-77.23,44.1
"770","P. americana",-75.3,45.25
"797","P. americana",-73.34,45.3
"799","P. americana",-80.03,43.15
"802","P. americana",-73.34,45.3
"803","P. americana",-73.34,45.3
"809","P. americana",-75.54,45.22
"810","P. americana",-75.42,45.25
"811","P. americana",-75.56,45.37
"813","P. americana",-75.5,45.12
"815","P. americana",-75.42,45.25
"817","P. americana",-75.52,44.27
"822","P. americana",-75.51,44.41
"830","P. americana",-75.42,45.25
"831","P. americana",-73.49,45.39
"832","P. americana",-72.38,42.2
"848","P. americana",-75.23711,38.70862
"863","P. americana",-88.88088,37.45963
"881","P. americana",-89.11444,40.36361
"908","P. americana",-96.41021,39.47054
"909","P. americana",-96.41021,39.47054
"953","P. americana",-85.657,42.23277
"955","P. americana",-85.75959,41.83906
"956","P. americana",-85.4,41.5
"958","P. americana",-93.08247,45.15231
"959","P. americana",-93.08247,45.15231
"960","P. americana",-93.53,45.24
"974","P. americana",-71.20778,43.58389
"975","P. americana",-71.20778,43.58389
"976","P. americana",-71.20778,43.58389
"1042","P. americana",-74.50042,42.67084
"1061","P. americana",-78.81585,35.25427
"1083","P. americana",-97.3866,46.5141
"1084","P. americana",-97.3866,46.5141
"1085","P. americana",-103.33726,46.67996
"1086","P. americana",-103.33726,46.67996
"1141","P. pennsylvanica",-115.51221,34.94305
"1146","P. pennsylvanica",-71.906,41.335
"1163","P. pennsylvanica",-86.64722,38.8045
"1175","P. pennsylvanica",-85.46576,39.61995
"1183","P. pennsylvanica",-74.16,40.55
"1200","P. pennsylvanica",-76.95056,39.40361
"1293","P. pennsylvanica",-89.65369,36.39933
"1294","P. pennsylvanica",-89.90483,37.06547
"1304","P. pennsylvanica",-74.75543,39.82468
"1305","P. pennsylvanica",-74.75543,39.82468
"1306","P. pennsylvanica",-74.75543,39.82468
"1307","P. pennsylvanica",-74.75543,39.82468
"1317","P. pennsylvanica",-75.46833,39.705
"1338","P. pennsylvanica",-73.5625,40.91
"1339","P. pennsylvanica",-73.5625,40.91
"1355","P. pennsylvanica",-76.395,42.38056
"1356","P. pennsylvanica",-76.395,42.38056
"1361","P. pennsylvanica",-76.49694,42.44056
"1363","P. pennsylvanica",-76.49694,42.44056
"1365","P. pennsylvanica",-76.49694,42.44056
"1372","P. pennsylvanica",-76.50207,42.44331
"1393","P. pennsylvanica",-82.55932,35.42509
"1415","P. pennsylvanica",-82.99889,39.96111
"1417","P. pennsylvanica",-83.02834,40.0079
"1418","P. pennsylvanica",-83.02602,40.03479
"1419","P. pennsylvanica",-83.02602,40.03479
"1420","P. pennsylvanica",-84.05719,41.40712
"1422","P. pennsylvanica",-82.77156,39.3509
"1423","P. pennsylvanica",-82.77156,39.3509
"1424","P. pennsylvanica",-82.77156,39.3509
"1425","P. pennsylvanica",-82.77156,39.3509
"1426","P. pennsylvanica",-82.77156,39.3509
"1427","P. pennsylvanica",-84.04,39.49
"1435","P. pennsylvanica",-79.86083,40.49333
"1441","P. pennsylvanica",-79.99611,40.44056
"1443","P. pennsylvanica",-79.90667,40.42417
"1462","P. pennsylvanica",-79.8426,40.50617
"1463","P. pennsylvanica",-79.8426,40.50617
"1473","P. pennsylvanica",-79.89533,40.81618
"1475","P. pennsylvanica",-79.89556,40.86111
"1477","P. pennsylvanica",-79.96222,40.84833
"1478","P. pennsylvanica",-79.96222,40.84833
"1480","P. pennsylvanica",-79.96222,40.84833
"1498","P. pennsylvanica",-80.03,41.39
"1499","P. pennsylvanica",-80.03,41.39
"1500","P. pennsylvanica",-80.03,41.39
"1501","P. pennsylvanica",-80.15167,41.64139
"1502","P. pennsylvanica",-80.15167,41.64139
"1503","P. pennsylvanica",-80.15167,41.64139
"1504","P. pennsylvanica",-80.15167,41.64139
"1505","P. pennsylvanica",-80.15167,41.64139
"1506","P. pennsylvanica",-80.15167,41.64139
"1507","P. pennsylvanica",-80.15167,41.64139
"1508","P. pennsylvanica",-80.15167,41.64139
"1509","P. pennsylvanica",-78.83306,41.38167
"1510","P. pennsylvanica",-78.83306,41.38167
"1511","P. pennsylvanica",-78.87361,41.39056
"1520","P. pennsylvanica",-79.13167,41.33694
"1521","P. pennsylvanica",-79.13167,41.33694
"1522","P. pennsylvanica",-77.46709,39.73015
"1523","P. pennsylvanica",-77.46709,39.73015
"1524","P. pennsylvanica",-77.46709,39.73015
"1525","P. pennsylvanica",-77.46709,39.73015
"1526","P. pennsylvanica",-77.46709,39.73015
"1531","P. pennsylvanica",-79.1505,40.62111
"1532","P. pennsylvanica",-79.6556,40.35171
"1533","P. pennsylvanica",-79.6556,40.35171
"1536","P. pennsylvanica",-75.01389,41.07639
"1537","P. pennsylvanica",-75.01389,41.07639
"1538","P. pennsylvanica",-75.01389,41.07639
"1539","P. pennsylvanica",-75.01389,41.07639
"1540","P. pennsylvanica",-75.31611,40.92944
"1541","P. pennsylvanica",-77.11765,40.40546
"1542","P. pennsylvanica",-77.11765,40.40546
"1543","P. pennsylvanica",-77.11765,40.40546
"1544","P. pennsylvanica",-77.11765,40.40546
"1555","P. pennsylvanica",-79.56081,40.30034
"1556","P. pennsylvanica",-79.56081,40.30034
"1557","P. pennsylvanica",-79.56081,40.30034
"1558","P. pennsylvanica",-79.56081,40.30034
"1605","P. pennsylvanica",-80.52713,34.6692
"1607","P. pennsylvanica",-77.28173,38.78912
"1660","P. pennsylvanica",-77.09466934,45.64161388
"1661","P. pennsylvanica",-80.21615982,43.53484288
"1662","P. pennsylvanica",-80.22027969,43.54913495
